Batch 364: 0.09 s, average cost 0.842, 31/100 correct (31.0%)
Batch 365: 0.094 s, average cost 0.816, 36/100 correct (36.0%)
Batch 366: 0.085 s, average cost 0.824, 30/100 correct (30.0%)
Batch 367: 0.084 s, average cost 0.811, 35/100 correct (35.0%)
Batch 368: 0.09 s, average cost 0.786, 39/100 correct (39.0%)
Batch 369: 0.095 s, average cost 0.771, 35/100 correct (35.0%)
Batch 370: 0.087 s, average cost 0.8, 33/100 correct (33.0%)
Batch 371: 0.086 s, average cost 0.703, 42/100 correct (42.0%)
Batch 372: 0.084 s, average cost 0.796, 31/100 correct (31.0%)
Batch 373: 0.083 s, average cost 0.808, 35/100 correct (35.0%)
Batch 374: 0.085 s, average cost 0.804, 32/100 correct (32.0%)
Batch 375: 0.083 s, average cost 0.806, 36/100 correct (36.0%)
Batch 376: 0.083 s, average cost 0.798, 38/100 correct (38.0%)
Batch 377: 0.088 s, average cost 0.751, 37/100 correct (37.0%)
Batch 378: 0.092 s, average cost 0.789, 34/100 correct (34.0%)
Batch 379: 0.096 s, average cost 0.919, 22/100 correct (22.0%)
Batch 380: 0.088 s, average cost 0.783, 34/100 correct (34.0%)
Batch 381: 0.084 s, average cost 0.779, 35/100 correct (35.0%)
Batch 382: 0.084 s, average cost 0.795, 32/100 correct (32.0%)
Batch 383: 0.082 s, average cost 0.791, 36/100 correct (36.0%)
Batch 384: 0.081 s, average cost 0.724, 39/100 correct (39.0%)
Batch 385: 0.082 s, average cost 0.782, 34/100 correct (34.0%)
Batch 386: 0.084 s, average cost 0.811, 34/100 correct (34.0%)
Batch 387: 0.086 s, average cost 0.825, 31/100 correct (31.0%)
Batch 388: 0.087 s, average cost 0.82, 29/100 correct (29.0%)
Batch 389: 0.094 s, average cost 0.83, 25/100 correct (25.0%)
Batch 390: 0.091 s, average cost 0.786, 42/100 correct (42.0%)
Batch 391: 0.089 s, average cost 0.739, 39/100 correct (39.0%)
Batch 392: 0.092 s, average cost 0.711, 43/100 correct (43.0%)
Batch 393: 0.091 s, average cost 0.794, 39/100 correct (39.0%)
Batch 394: 0.084 s, average cost 0.811, 35/100 correct (35.0%)
Batch 395: 0.087 s, average cost 0.799, 33/100 correct (33.0%)
Batch 396: 0.087 s, average cost 0.805, 31/100 correct (31.0%)
Batch 397: 0.082 s, average cost 0.788, 36/100 correct (36.0%)
Batch 398: 0.083 s, average cost 0.874, 27/100 correct (27.0%)
Batch 399: 0.081 s, average cost 0.81, 35/100 correct (35.0%)
