Batch 307: 0.118 s, average cost 1.686, 20/150 correct (13.3%)
Batch 308: 0.118 s, average cost 1.83, 10/150 correct (6.7%)
Batch 309: 0.121 s, average cost 1.816, 12/150 correct (8.0%)
Batch 310: 0.118 s, average cost 1.752, 16/150 correct (10.7%)
Batch 311: 0.12 s, average cost 1.788, 13/150 correct (8.7%)
Batch 312: 0.121 s, average cost 1.708, 19/150 correct (12.7%)
Batch 313: 0.118 s, average cost 1.777, 12/150 correct (8.0%)
Batch 314: 0.119 s, average cost 1.79, 13/150 correct (8.7%)
Batch 315: 0.119 s, average cost 1.719, 18/150 correct (12.0%)
Batch 316: 0.121 s, average cost 1.811, 12/150 correct (8.0%)
Batch 317: 0.12 s, average cost 1.694, 20/150 correct (13.3%)
Batch 318: 0.119 s, average cost 1.822, 11/150 correct (7.3%)
Batch 319: 0.121 s, average cost 1.748, 16/150 correct (10.7%)
Batch 320: 0.121 s, average cost 1.773, 13/150 correct (8.7%)
Batch 321: 0.12 s, average cost 1.823, 11/150 correct (7.3%)
Batch 322: 0.12 s, average cost 1.735, 17/150 correct (11.3%)
Batch 323: 0.12 s, average cost 1.712, 19/150 correct (12.7%)
Batch 324: 0.12 s, average cost 1.749, 14/150 correct (9.3%)
Batch 325: 0.12 s, average cost 1.813, 10/150 correct (6.7%)
Batch 326: 0.12 s, average cost 1.805, 12/150 correct (8.0%)
Batch 327: 0.121 s, average cost 1.756, 16/150 correct (10.7%)
Batch 328: 0.12 s, average cost 1.676, 21/150 correct (14.0%)
Batch 329: 0.121 s, average cost 1.804, 12/150 correct (8.0%)
Batch 330: 0.12 s, average cost 1.774, 14/150 correct (9.3%)
Batch 331: 0.119 s, average cost 1.792, 12/150 correct (8.0%)
Batch 332: 0.1199 s, average cost 1.734, 16/150 correct (10.7%)
Batch 333: 0.121 s, average cost 1.711, 18/150 correct (12.0%)
Batch 334: 0.121 s, average cost 1.737, 15/150 correct (10.0%)
Batch 335: 0.12 s, average cost 1.711, 18/150 correct (12.0%)
Batch 336: 0.121 s, average cost 1.757, 16/150 correct (10.7%)
Batch 337: 0.121 s, average cost 1.782, 13/150 correct (8.7%)
Batch 338: 0.12 s, average cost 1.733, 16/150 correct (10.7%)
Batch 339: 0.118 s, average cost 1.808, 10/150 correct (6.7%)
Batch 340: 0.122 s, average cost 1.723, 17/150 correct (11.3%)
Batch 341: 0.12 s, average cost 1.766, 14/150 correct (9.3%)
Batch 342: 0.121 s, average cost 1.753, 16/150 correct (10.7%)
Batch 343: 0.12 s, average cost 1.768, 14/150 correct (9.3%)
Batch 344: 0.118 s, average cost 1.706, 18/150 correct (12.0%)
Batch 345: 0.123 s, average cost 1.716, 18/150 correct (12.0%)
Batch 346: 0.119 s, average cost 1.79, 12/150 correct (8.0%)
Batch 347: 0.12 s, average cost 1.672, 21/150 correct (14.0%)
Batch 348: 0.12 s, average cost 1.767, 13/150 correct (8.7%)
Batch 349: 0.12 s, average cost 1.785, 12/150 correct (8.0%)
Batch 350: 0.122 s, average cost 1.736, 16/150 correct (10.7%)
Batch 351: 0.119 s, average cost 1.684, 20/150 correct (13.3%)
Batch 352: 0.121 s, average cost 1.767, 14/150 correct (9.3%)
Batch 353: 0.121 s, average cost 1.819, 10/150 correct (6.7%)
Batch 354: 0.119 s, average cost 1.864, 6/150 correct (4.0%)
Batch 355: 0.116 s, average cost 1.694, 19/150 correct (12.7%)
Batch 356: 0.119 s, average cost 1.651, 22/150 correct (14.7%)
Batch 357: 0.119 s, average cost 1.743, 15/150 correct (10.0%)
Batch 358: 0.119 s, average cost 1.77, 13/150 correct (8.7%)
Batch 359: 0.119 s, average cost 1.728, 15/150 correct (10.0%)
Batch 360: 0.12 s, average cost 1.711, 17/150 correct (11.3%)
Batch 361: 0.121 s, average cost 1.774, 12/150 correct (8.0%)
Batch 362: 0.121 s, average cost 1.81, 10/150 correct (6.7%)
Batch 363: 0.119 s, average cost 1.783, 12/150 correct (8.0%)
Batch 364: 0.118 s, average cost 1.766, 12/150 correct (8.0%)
Batch 365: 0.12 s, average cost 1.739, 15/150 correct (10.0%)
Batch 366: 0.118 s, average cost 1.77, 12/150 correct (8.0%)
Batch 367: 0.118 s, average cost 1.674, 21/150 correct (14.0%)
Batch 368: 0.119 s, average cost 1.789, 10/150 correct (6.7%)
Batch 369: 0.119 s, average cost 1.755, 13/150 correct (8.7%)
Batch 370: 0.121 s, average cost 1.718, 16/150 correct (10.7%)
Batch 371: 0.117 s, average cost 1.694, 16/150 correct (10.7%)
Batch 372: 0.12 s, average cost 1.738, 13/150 correct (8.7%)
Batch 373: 0.12 s, average cost 1.714, 13/150 correct (8.7%)
Batch 374: 0.119 s, average cost 1.688, 14/150 correct (9.3%)
Batch 375: 0.118 s, average cost 1.629, 17/150 correct (11.3%)
Batch 376: 0.119 s, average cost 1.614, 17/150 correct (11.3%)
Batch 377: 0.119 s, average cost 1.654, 11/150 correct (7.3%)
Batch 378: 0.119 s, average cost 1.501, 17/150 correct (11.3%)
Batch 379: 0.121 s, average cost 1.461, 12/150 correct (8.0%)
Batch 380: 0.12 s, average cost 1.322, 16/150 correct (10.7%)
